"customer_id";"customer_fname";"customer_lname";"customer_segment"
1753;"Sandra";"Smith";"Consumer"
1756;"Jason";"Dixon";"Consumer"
1758;"Larry";"King";"Consumer"
1759;"Mary";"Barnett";"Consumer"
1788;"Timothy";"Smith";"Consumer"
1804;"Kathleen";"Lee";"Corporate"
1820;"Mary";"Hill";"Consumer"
1826;"Matthew";"Smith";"Corporate"
1834;"Jane";"Nichols";"Home Office"
1840;"Jerry";"Smith";"Consumer"
1853;"Mary";"Austin";"Consumer"
1868;"Mary";"Riddle";"Corporate"
1899;"Susan";"Smith";"Corporate"
1944;"Mary";"Smith";"Home Office"
1948;"Peter";"Smith";"Consumer"
1956;"Mary";"Clay";"Consumer"
1958;"Mary";"Ward";"Corporate"
1962;"Marie";"Smith";"Consumer"
1975;"Mary";"Smith";"Corporate"
1989;"Richard";"Leach";"Home Office"
2013;"Mary";"Fletcher";"Corporate"
2028;"Cynthia";"Smith";"Consumer"
2035;"Mary";"Salas";"Corporate"
2041;"Paul";"Garcia";"Consumer"
2048;"Mary";"Wolf";"Consumer"
2052;"Mary";"Anthony";"Consumer"
2053;"Ronald";"Smith";"Consumer"
2062;"Sharon";"Smith";"Consumer"
2078;"Roger";"Morales";"Consumer"
2091;"Doris";"Smith";"Consumer"
2106;"Mary";"Grimes";"Consumer"
2111;"Joan";"Smith";"Home Office"
2131;"Evelyn";"Green";"Consumer"
2136;"Catherine";"Turner";"Consumer"
2168;"Mary";"Reynolds";"Consumer"
2200;"Evelyn";"Wilson";"Corporate"
2205;"Wayne";"Rodriguez";"Corporate"
2214;"Mary";"Smith";"Consumer"
2217;"Mary";"Martinez";"Consumer"
2233;"Jack";"Duke";"Consumer"
2240;"Edward";"West";"Home Office"
2260;"Laura";"Haas";"Home Office"
2270;"Mary";"Smith";"Consumer"
2291;"Mary";"Mcdonald";"Consumer"
2319;"Mary";"Holland";"Corporate"
2324;"Zachary";"Smith";"Home Office"
2329;"Mary";"Smith";"Corporate"
2339;"Mary";"Smith";"Home Office"
2353;"Mary";"Smith";"Consumer"
2360;"Denise";"Smith";"Home Office"
2363;"Mary";"Frazier";"Consumer"
2364;"Thomas";"Whitney";"Consumer"
2368;"Mary";"Medina";"Consumer"
2426;"Mary";"Phillips";"Home Office"
2431;"Olivia";"Moore";"Home Office"
2439;"Mary";"Smith";"Home Office"
2454;"Kyle";"Curtis";"Corporate"
2456;"Joan";"Donaldson";"Corporate"
2464;"Teresa";"Warner";"Consumer"
2502;"Mary";"Smith";"Corporate"
2511;"Teresa";"Grimes";"Corporate"
2518;"Mary";"Smith";"Consumer"
2538;"Kelly";"Williams";"Consumer"
2540;"Patricia";"Smith";"Corporate"
2546;"Mary";"Smith";"Home Office"
2571;"Zachary";"Beasley";"Corporate"
2588;"Mary";"Smith";"Consumer"
2641;"Betty";"Spears";"Consumer"
2643;"David";"Smith";"Consumer"
2682;"Cynthia";"Miller";"Consumer"
2686;"Mary";"Coffey";"Consumer"
2709;"Mary";"Smith";"Corporate"
2728;"Mary";"Adams";"Consumer"
2737;"Mary";"Smith";"Consumer"
2741;"Jason";"Smith";"Corporate"
2773;"Linda";"Hale";"Corporate"
2784;"Lisa";"Smith";"Consumer"
2790;"Mary";"Nielsen";"Consumer"
2792;"Roy";"Carey";"Consumer"
2805;"Willie";"Smith";"Consumer"
2813;"Mary";"Smith";"Consumer"
2817;"Rachel";"Choi";"Corporate"
2823;"Danielle";"Smith";"Consumer"
2851;"Mary";"Huffman";"Home Office"
2871;"Sharon";"Mitchell";"Corporate"
2882;"Mary";"Decker";"Consumer"
2891;"Victoria";"Pitts";"Corporate"
2911;"Mary";"Smith";"Corporate"
2916;"Cynthia";"Nelson";"Home Office"
2918;"Mary";"Myers";"Consumer"
2922;"Madison";"Russo";"Consumer"
2924;"Timothy";"Kirby";"Home Office"
2985;"Donald";"Price";"Corporate"
3029;"Bryan";"Smith";"Corporate"
3050;"Mary";"Smith";"Consumer"
3056;"George";"Middleton";"Consumer"
3064;"Sandra";"Smith";"Consumer"
3066;"Mary";"Smith";"Consumer"
3071;"Mary";"Meadows";"Consumer"
3085;"Richard";"Smith";"Corporate"
3091;"Carolyn";"Rodriguez";"Home Office"
3099;"Brittany";"Copeland";"Consumer"
3104;"Megan";"Smith";"Home Office"
3125;"Dylan";"Walker";"Consumer"
3131;"Mary";"Brown";"Corporate"
3142;"Brenda";"Smith";"Consumer"
3144;"Pamela";"Browning";"Home Office"
3150;"Ruth";"Smith";"Home Office"
3182;"Frances";"Smith";"Home Office"
3204;"Edward";"Smith";"Consumer"
3207;"Stephen";"Smith";"Consumer"
3222;"Mary";"Williams";"Consumer"
3246;"Lori";"Burns";"Consumer"
3249;"Mary";"Mcgrath";"Consumer"
3283;"Charles";"Ramos";"Consumer"
3296;"Mary";"Smith";"Home Office"
3298;"Mary";"Ray";"Corporate"
3302;"Terry";"Smith";"Corporate"
3306;"Mary";"Woods";"Corporate"
3315;"Andrew";"Butler";"Consumer"
3329;"Joshua";"Smith";"Consumer"
3358;"Anthony";"Wright";"Home Office"
3372;"Virginia";"Smith";"Consumer"
3373;"Mary";"Willis";"Consumer"
3375;"Mary";"Sanchez";"Consumer"
3405;"Bruce";"Paul";"Home Office"
3421;"Kathryn";"Norris";"Corporate"
3424;"Patricia";"Leblanc";"Corporate"
3441;"Emma";"Russell";"Consumer"
3466;"Evelyn";"Smith";"Home Office"
3471;"Mary";"Franco";"Consumer"
3474;"Jack";"Hatfield";"Consumer"
3484;"Rebecca";"Hunter";"Corporate"
3485;"Mary";"Smith";"Corporate"
3490;"Mary";"Smith";"Consumer"
3497;"Mary";"Smith";"Consumer"
3518;"Daniel";"Smith";"Consumer"
3519;"Nicholas";"Ruiz";"Consumer"
3528;"Nicole";"Brooks";"Consumer"
3535;"Betty";"Rodgers";"Consumer"
3546;"Mary";"Cannon";"Home Office"
3570;"Mary";"Nelson";"Home Office"
3594;"Mary";"Smith";"Consumer"
3597;"Margaret";"Smith";"Consumer"
3598;"Marilyn";"Morris";"Corporate"
3624;"Grace";"Shah";"Consumer"
3628;"Alice";"Michael";"Corporate"
3687;"Mary";"Morrow";"Corporate"
3709;"Mary";"Padilla";"Consumer"
3715;"Debra";"Burnett";"Consumer"
3731;"Beverly";"Smith";"Corporate"
3752;"Mary";"Vega";"Home Office"
3754;"Mary";"Sims";"Home Office"
3770;"Mary";"Johnson";"Consumer"
3784;"Mary";"Sharp";"Consumer"
3797;"David";"Gutierrez";"Consumer"
3800;"Shawn";"Smith";"Consumer"
3804;"Andrew";"Le";"Consumer"
3814;"Eric";"Salazar";"Consumer"
3815;"Mary";"Sloan";"Corporate"
3905;"Denise";"Smith";"Corporate"
3915;"Heather";"Smith";"Consumer"
3935;"Harold";"Hayes";"Consumer"
3940;"Mary";"Smith";"Consumer"
3969;"Carl";"Smith";"Consumer"
3972;"Laura";"Bennett";"Consumer"
3984;"Brenda";"Webster";"Corporate"
3990;"Sandra";"Smith";"Consumer"
3995;"Kathryn";"Gallegos";"Corporate"
3997;"Margaret";"Walker";"Corporate"
4045;"Mary";"Neal";"Consumer"
4047;"Marilyn";"Potter";"Consumer"
4070;"Mary";"Steele";"Corporate"
4078;"Mary";"Gallegos";"Consumer"
4098;"Mary";"Lang";"Consumer"
4104;"Debra";"Butler";"Consumer"
4126;"John";"Stokes";"Consumer"
4140;"Brandon";"Smith";"Corporate"
4147;"Karen";"Gillespie";"Consumer"
4151;"Mary";"Smith";"Consumer"
4209;"Mary";"Lara";"Consumer"
4210;"Matthew";"Roach";"Consumer"
4232;"Mary";"Garza";"Home Office"
4248;"Jonathan";"Smith";"Consumer"
4249;"Mary";"Butler";"Consumer"
4269;"Mary";"Calderon";"Corporate"
4276;"Jacqueline";"Page";"Consumer"
4279;"Jack";"Meyer";"Consumer"
4280;"Mary";"Mccoy";"Consumer"
4296;"Edward";"Sanchez";"Consumer"
4316;"Kevin";"Tran";"Corporate"
4329;"Mary";"Ayala";"Corporate"
4346;"James";"Smith";"Consumer"
4391;"Harry";"Smith";"Consumer"
4398;"Mary";"Yoder";"Consumer"
4399;"Richard";"Smith";"Consumer"
4427;"Edward";"Soto";"Corporate"
4429;"Sara";"Graves";"Corporate"
4438;"Frank";"Jennings";"Consumer"
4460;"Mary";"Smith";"Consumer"
4477;"Jonathan";"Smith";"Corporate"
4510;"Rachel";"Cochran";"Corporate"
4533;"Walter";"Chavez";"Consumer"
4539;"Jacqueline";"James";"Corporate"
4580;"Charles";"Smith";"Consumer"
4594;"Mary";"Caldwell";"Home Office"
4596;"Mary";"Burns";"Consumer"
4611;"Dorothy";"Smith";"Consumer"
4612;"Mary";"Wilson";"Consumer"
4673;"Wayne";"Hodges";"Home Office"
4674;"Mary";"Lynn";"Consumer"
4695;"Hannah";"Guerra";"Consumer"
4697;"Kathryn";"Singh";"Consumer"
4707;"Victoria";"Smith";"Corporate"
4717;"Mary";"Sanders";"Consumer"
4741;"Mary";"Smith";"Home Office"
4768;"Amanda";"Hays";"Home Office"
4781;"Janet";"Smith";"Consumer"
4784;"Mary";"Williams";"Consumer"
4799;"Paul";"Jensen";"Consumer"
4807;"Raymond";"Rodgers";"Corporate"
4830;"Henry";"Jones";"Corporate"
4841;"John";"Warner";"Consumer"
4848;"Jennifer";"Morgan";"Consumer"
4867;"Mary";"Smith";"Consumer"
4899;"Mary";"Bauer";"Consumer"
4909;"Mary";"Smith";"Consumer"
4936;"Kyle";"Smith";"Home Office"
4986;"Katherine";"Cole";"Corporate"
4998;"Mary";"Smith";"Consumer"
5001;"Ann";"Waller";"Consumer"
5007;"Mary";"Smith";"Home Office"
5011;"William";"Berg";"Consumer"
5023;"Mary";"Smith";"Consumer"
5054;"Paul";"Thomas";"Corporate"
5074;"Karen";"Smith";"Consumer"
5088;"Mary";"Smith";"Corporate"
5089;"James";"Holloway";"Consumer"
5097;"Jennifer";"Moore";"Corporate"
5113;"Judith";"Osborne";"Consumer"
5118;"Mary";"Smith";"Consumer"
5138;"William";"Rivera";"Corporate"
5197;"Brenda";"Jordan";"Home Office"
5206;"Mary";"Palmer";"Consumer"
5224;"Jane";"Green";"Consumer"
5243;"Mary";"Smith";"Consumer"
5270;"Andrea";"Johnson";"Corporate"
5271;"Mary";"Hall";"Corporate"
5274;"Michael";"Beard";"Consumer"
5295;"Mary";"Williams";"Corporate"
5301;"Mary";"Ward";"Consumer"
5302;"Betty";"Smith";"Consumer"
5329;"Jack";"Townsend";"Consumer"
5339;"Mary";"Moore";"Consumer"
5364;"Thomas";"Colon";"Consumer"
5367;"Mary";"Mccormick";"Home Office"
5375;"Jeremy";"Holmes";"Corporate"
5384;"Christopher";"Smith";"Corporate"
5417;"Dennis";"Meyer";"Home Office"
5418;"Mary";"Roy";"Consumer"
5421;"Mary";"Carlson";"Consumer"
5474;"Mary";"Sanchez";"Consumer"
5505;"Joseph";"Matthews";"Consumer"
5506;"Gregory";"Smith";"Consumer"
5564;"Mary";"Smith";"Home Office"
5643;"Tiffany";"Caldwell";"Consumer"
5674;"Ethan";"Cross";"Corporate"
5687;"Mary";"Chapman";"Consumer"
5707;"Kathy";"Sampson";"Consumer"
5728;"Sarah";"Montoya";"Home Office"
5732;"Jacob";"Perry";"Corporate"
5749;"Mary";"Smith";"Consumer"
5783;"Daniel";"Smith";"Consumer"
5785;"Mary";"Frost";"Home Office"
5801;"Theresa";"Pearson";"Corporate"
5820;"Margaret";"Smith";"Home Office"
5828;"Katherine";"Oconnell";"Consumer"
5845;"Daniel";"Bruce";"Home Office"
5854;"Mary";"Smith";"Consumer"
5855;"Daniel";"Young";"Consumer"
5870;"John";"Hughes";"Home Office"
5875;"Mary";"Rodgers";"Corporate"
5884;"Gary";"Smith";"Consumer"
5887;"Mary";"Peters";"Consumer"
5898;"Emily";"Jacobs";"Consumer"
5902;"Mary";"Jones";"Corporate"
5917;"Ashley";"Smith";"Corporate"
5929;"Mary";"Shepherd";"Consumer"
5935;"Mary";"Smith";"Corporate"
5941;"Douglas";"Smith";"Corporate"
5965;"Richard";"Parker";"Consumer"
5981;"Ronald";"Williamson";"Corporate"
5988;"Melissa";"Miller";"Consumer"
6045;"Mary";"Christensen";"Consumer"
6050;"Rebecca";"Arnold";"Consumer"
6071;"Mary";"Wu";"Corporate"
6073;"Mary";"Campos";"Consumer"
6122;"Johnny";"Smith";"Home Office"
6123;"Mary";"Anderson";"Consumer"
6149;"Matthew";"Bush";"Consumer"
6162;"Wayne";"Hood";"Consumer"
6172;"James";"Smith";"Corporate"
6199;"Mary";"Jacobs";"Consumer"
6217;"Roger";"Black";"Consumer"
6227;"David";"Weber";"Corporate"
6246;"Melissa";"Ramirez";"Consumer"
6248;"Ronald";"Hanson";"Consumer"
6268;"Mary";"Summers";"Home Office"
6277;"Eugene";"Smith";"Consumer"
6280;"Mary";"Day";"Home Office"
6306;"Donna";"Browning";"Consumer"
6310;"Jerry";"Deleon";"Home Office"
6352;"Madison";"Smith";"Home Office"
6360;"Mary";"Phillips";"Consumer"
6365;"Mary";"Smith";"Consumer"
6370;"Andrea";"Smith";"Corporate"
6374;"Rebecca";"Briggs";"Corporate"
6376;"Crystal";"Rodriguez";"Corporate"
6398;"Tammy";"Smith";"Consumer"
6402;"Mary";"Frazier";"Consumer"
6405;"Mary";"Anderson";"Home Office"
6408;"Kevin";"Cooper";"Home Office"
6416;"Mary";"Smith";"Home Office"
6422;"Jonathan";"Richmond";"Corporate"
6428;"Mary";"Smith";"Consumer"
6448;"Mary";"Lawrence";"Corporate"
6466;"Susan";"Meyer";"Consumer"
6473;"Mary";"Castillo";"Consumer"
6489;"Maria";"Macdonald";"Home Office"
6491;"Bruce";"Cruz";"Home Office"
6492;"Bryan";"Smith";"Corporate"
6497;"Mary";"Lee";"Home Office"
6499;"Ashley";"Peterson";"Home Office"
6506;"Anna";"Bailey";"Consumer"
6517;"Amber";"Sheppard";"Consumer"
6523;"Mary";"Smith";"Consumer"
6543;"Alexander";"Smith";"Consumer"
6588;"Mary";"Smith";"Consumer"
6594;"Rebecca";"Austin";"Consumer"
6636;"Mary";"Smith";"Home Office"
6670;"Betty";"Lopez";"Corporate"
6708;"Mary";"Costa";"Corporate"
6725;"Mary";"Alexander";"Corporate"
6736;"Timothy";"Guzman";"Corporate"
6738;"Mary";"Taylor";"Consumer"
6742;"David";"Richardson";"Corporate"
6746;"Anthony";"Sanchez";"Home Office"
6757;"Mary";"Freeman";"Consumer"
6780;"Sean";"Chung";"Corporate"
6817;"Mary";"Garrett";"Consumer"
6827;"Mary";"Smith";"Home Office"
6871;"Gregory";"Bowman";"Home Office"
6872;"Mary";"Lloyd";"Corporate"
6875;"Mary";"Mcdowell";"Corporate"
6887;"Mary";"Smith";"Consumer"
6944;"Kyle";"Robertson";"Home Office"
6950;"Nicholas";"Smith";"Corporate"
6951;"Mary";"Williams";"Corporate"
6967;"Johnny";"Rodriguez";"Corporate"
7005;"James";"Carpenter";"Consumer"
7007;"Mary";"Mckinney";"Consumer"
7045;"Helen";"Smith";"Consumer"
7060;"Virginia";"Carroll";"Home Office"
7112;"Mark";"Harris";"Home Office"
7113;"Mary";"Shepherd";"Corporate"
7114;"Deborah";"Smith";"Corporate"
7132;"David";"Guerra";"Consumer"
7141;"Mary";"Jackson";"Corporate"
7146;"Nancy";"Curry";"Consumer"
7163;"Mary";"Jones";"Corporate"
7167;"Harold";"Medina";"Consumer"
7175;"Judy";"Webb";"Consumer"
7178;"Mary";"Smith";"Corporate"
7200;"Katherine";"Smith";"Consumer"
7202;"Beverly";"Smith";"Consumer"
7222;"Jesse";"Stein";"Consumer"
7247;"Mary";"Smith";"Consumer"
7259;"Jerry";"Ingram";"Corporate"
7268;"Mary";"Reed";"Corporate"
7269;"Adam";"Hodges";"Consumer"
7272;"Benjamin";"Hurst";"Consumer"
7273;"Mary";"Smith";"Consumer"
7302;"Angela";"Little";"Corporate"
7307;"Brandon";"Foster";"Corporate"
7330;"Mary";"Smith";"Consumer"
7331;"Pamela";"Strong";"Consumer"
7347;"Carolyn";"Gallegos";"Corporate"
7391;"Mary";"Garrett";"Consumer"
7393;"Mary";"Smith";"Home Office"
7407;"Diane";"Kim";"Consumer"
7446;"Lisa";"Williams";"Consumer"
7454;"Andrew";"Kim";"Corporate"
7465;"Andrew";"Smith";"Consumer"
7466;"Mary";"Warren";"Consumer"
7468;"Mary";"Hebert";"Home Office"
7504;"Stephanie";"Smith";"Consumer"
7512;"Susan";"Smith";"Consumer"
7518;"Mary";"Padilla";"Consumer"
7521;"Mary";"Ortega";"Consumer"
7532;"Mary";"Liu";"Corporate"
7534;"Mary";"Smith";"Corporate"
7537;"Stephen";"Lee";"Consumer"
7576;"Frances";"Smith";"Home Office"
7603;"Kevin";"Smith";"Home Office"
7635;"Mary";"Bridges";"Consumer"
7680;"Sandra";"Heath";"Consumer"
7683;"Cynthia";"Wallace";"Consumer"
7687;"Evelyn";"Valencia";"Home Office"
7697;"Hannah";"Wilkins";"Corporate"
7701;"James";"Lawson";"Consumer"
7705;"Julia";"Robinson";"Corporate"
7707;"Anna";"Smith";"Corporate"
7720;"Lisa";"Ramirez";"Consumer"
7733;"Mary";"Torres";"Corporate"
7735;"Mary";"Luna";"Consumer"
7764;"Mary";"Wilson";"Consumer"
7783;"Amy";"Kent";"Consumer"
7784;"Mary";"Smith";"Consumer"
7795;"Sandra";"Smith";"Corporate"
7810;"Henry";"Smith";"Consumer"
7832;"Stephen";"Nguyen";"Corporate"
7844;"Scott";"Smith";"Consumer"
7864;"Alice";"Smith";"Home Office"
7884;"Peter";"Smith";"Corporate"
7887;"Mary";"Keller";"Corporate"
7894;"Emma";"Moore";"Consumer"
7955;"Mary";"Rios";"Home Office"
7967;"Samuel";"Jones";"Consumer"
7994;"Ralph";"Smith";"Corporate"
8002;"Margaret";"Martinez";"Consumer"
8004;"Mary";"Smith";"Consumer"
8010;"Kathy";"Smith";"Corporate"
8011;"Mary";"Hill";"Home Office"
8024;"Christopher";"Smith";"Consumer"
8037;"Mary";"Mclaughlin";"Corporate"
8050;"Elizabeth";"Smith";"Consumer"
8051;"Emily";"Hutchinson";"Consumer"
8078;"Janet";"Thomas";"Corporate"
8098;"Mary";"Smith";"Consumer"
8100;"Victoria";"Smith";"Corporate"
8103;"Donna";"Jones";"Consumer"
8133;"Benjamin";"Riddle";"Home Office"
8144;"Mary";"Summers";"Consumer"
8205;"Lawrence";"Cummings";"Consumer"
8224;"Edward";"Chang";"Consumer"
8254;"Jesse";"Esparza";"Consumer"
8274;"Mary";"Mcgrath";"Consumer"
8293;"Nathan";"Mahoney";"Consumer"
8348;"Mary";"Maddox";"Consumer"
8358;"Mary";"Smith";"Corporate"
8360;"Jeremy";"Smith";"Consumer"
8397;"Amber";"Smith";"Consumer"
8398;"Mary";"Williams";"Consumer"
8404;"Joshua";"Taylor";"Corporate"
8422;"Wayne";"Crawford";"Consumer"
8456;"Mary";"Smith";"Consumer"
8478;"Mary";"Sweeney";"Corporate"
8480;"Gary";"Meza";"Consumer"
8481;"Mary";"Smith";"Consumer"
8485;"Mary";"Simmons";"Home Office"
8498;"Joseph";"Pennington";"Corporate"
8511;"Mary";"Smith";"Home Office"
8517;"Debra";"Smith";"Consumer"
8519;"Pamela";"Michael";"Consumer"
8520;"Denise";"Smith";"Consumer"
8524;"Ruth";"Farrell";"Consumer"
8534;"Mary";"Rose";"Consumer"
8541;"Mary";"Smith";"Home Office"
8544;"Sarah";"Smith";"Consumer"
8551;"Harold";"Dalton";"Corporate"
8556;"Daniel";"Pruitt";"Corporate"
8572;"Victoria";"Smith";"Consumer"
8587;"James";"Roy";"Consumer"
8608;"Mary";"Robertson";"Home Office"
8645;"Andrew";"Johnston";"Consumer"
8650;"Patricia";"Fitzpatrick";"Corporate"
8663;"Mary";"Kim";"Consumer"
8677;"Cynthia";"Mccoy";"Consumer"
8696;"Mary";"Pope";"Corporate"
8707;"Lisa";"Smith";"Home Office"
8720;"Mary";"Alvarado";"Corporate"
8730;"Mary";"Smith";"Corporate"
8741;"Gregory";"Smith";"Consumer"
8744;"Mary";"Wells";"Consumer"
8746;"Charles";"Stout";"Corporate"
8766;"Mary";"Duncan";"Corporate"
8792;"Mary";"Smith";"Consumer"
8806;"Amber";"Diaz";"Consumer"
8807;"Mary";"Terrell";"Consumer"
8831;"Mary";"Smith";"Home Office"
8841;"Mary";"Smith";"Corporate"
8897;"Stephen";"Blackburn";"Home Office"
8899;"Cynthia";"Brown";"Consumer"
8917;"Mary";"Smith";"Consumer"
8925;"Mary";"Erickson";"Corporate"
8986;"Mary";"Smith";"Home Office"
8992;"Maria";"Summers";"Consumer"
8993;"Mary";"Smith";"Corporate"
9002;"Mary";"Mullins";"Corporate"
9011;"Mary";"Smith";"Home Office"
9029;"Mary";"Bryan";"Home Office"
9037;"Laura";"Smith";"Consumer"
9047;"Jordan";"Medina";"Home Office"
9082;"Diane";"Terry";"Home Office"
9083;"Mary";"Frank";"Home Office"
9112;"Joseph";"Callahan";"Corporate"
9114;"Mary";"Smith";"Home Office"
9120;"Terry";"Trujillo";"Home Office"
9129;"Judy";"Arnold";"Corporate"
9145;"Gary";"Smith";"Corporate"
9148;"Robert";"Gallagher";"Consumer"
9154;"Anna";"Gillespie";"Consumer"
9162;"Christina";"Carter";"Corporate"
9163;"Mary";"Russell";"Corporate"
9164;"Frances";"Estrada";"Consumer"
9174;"Tyler";"Smith";"Consumer"
9189;"Richard";"Smith";"Home Office"
9197;"Mary";"Sutton";"Consumer"
9202;"Mary";"Skinner";"Consumer"
9204;"Mary";"Harris";"Consumer"
9248;"Mary";"Luna";"Consumer"
9272;"Ronald";"Blackwell";"Home Office"
9294;"Mary";"Blackwell";"Consumer"
9307;"Mary";"Frederick";"Corporate"
9316;"Megan";"Sanders";"Consumer"
9326;"Linda";"Hess";"Consumer"
9342;"Teresa";"Grant";"Consumer"
9345;"Mary";"Branch";"Corporate"
9352;"Mary";"Lewis";"Corporate"
9353;"Michael";"Scott";"Home Office"
9368;"Mary";"Cabrera";"Consumer"
9385;"Andrew";"Whitehead";"Consumer"
9399;"Mary";"Bennett";"Consumer"
9402;"Amber";"Smith";"Consumer"
9414;"Gloria";"Smith";"Consumer"
9415;"Mary";"Joyce";"Home Office"
9419;"Mary";"Smith";"Consumer"
9429;"George";"Terrell";"Consumer"
9432;"Hannah";"Smith";"Corporate"
9444;"Mary";"Carpenter";"Home Office"
9451;"Mary";"Smith";"Home Office"
9466;"Mary";"Smith";"Consumer"
9467;"Billy";"Butler";"Home Office"
9484;"Mary";"Howell";"Consumer"
9494;"Robert";"Gilmore";"Corporate"
9495;"Nicholas";"Smith";"Consumer"
9501;"Patricia";"Smith";"Consumer"
9511;"Joshua";"Brady";"Corporate"
9524;"Mary";"Nelson";"Consumer"
9528;"Mary";"Flores";"Consumer"
9554;"Mary";"Hayes";"Consumer"
9563;"Pamela";"Murphy";"Corporate"
9581;"Deborah";"Smith";"Consumer"
9597;"Lori";"Perez";"Home Office"
9619;"Mary";"Smith";"Consumer"
9626;"Dorothy";"Frye";"Corporate"
9634;"Mary";"Weaver";"Corporate"
